day,q00,q11,r,h,rmse,hit,pnl,pos
-1,0.05,0.1,1.0,15,5.389833749658761,0.2089778258518118,74641.5,80
-1,0.05,0.1,1.0,20,6.855492226641535,0.20616549486208763,74507.0,80
-1,0.05,0.1,1.0,25,8.360645745039507,0.2041103299080584,74455.0,80
-1,0.05,0.1,2.0,10,3.281995258280644,0.23255813953488372,75879.5,80
-1,0.05,0.1,2.0,12,3.7365370229336166,0.22996214169821524,75661.0,80
-1,0.05,0.1,2.0,15,4.4023200682961745,0.22552731206057328,75439.0,80
-1,0.05,0.1,2.0,20,5.532870940901528,0.22195781503515413,75270.5,80
-1,0.05,0.1,2.0,25,6.701810197488147,0.22011898323418064,75081.5,80
-1,0.05,0.1,4.0,10,2.7741299207544157,0.26922660897782585,76905.0,80
-1,0.05,0.1,4.0,12,3.1199672572243586,0.26068144943212546,76646.5,80
-1,0.05,0.1,4.0,15,3.6210703948266834,0.25191995673336937,76373.0,80
-1,0.05,0.1,4.0,20,4.4827268011899575,0.2443482963764197,76104.5,80
-1,0.05,0.1,4.0,25,5.382618113629073,0.24099513250405624,75883.5,80
-1,0.05,0.1,8.0,10,2.3841518152808088,0.3067604110329908,78086.0,80
-1,0.05,0.1,8.0,12,2.6429736760776597,0.298539751216874,77664.0,80
-1,0.05,0.1,8.0,15,3.013431939547803,0.28761492698756086,77273.5,80
-1,0.05,0.1,8.0,20,3.6621617975044503,0.2770146024878313,76955.5,80
-1,0.05,0.1,8.0,25,4.349820125940544,0.27236343969713356,76732.5,80
-1,0.1,0.001,1.0,10,1.6133147774247292,0.3855056787452677,80042.0,80
-1,0.1,0.001,1.0,12,1.6786049374657894,0.37512168739859386,79816.5,80
-1,0.1,0.001,1.0,15,1.7600963520631148,0.36387236343969714,79510.0,80
-1,0.1,0.001,1.0,20,1.918635738008208,0.35673336938885886,79414.0,80
-1,0.1,0.001,1.0,25,2.104489840866773,0.3552190373174689,79386.0,80
-1,0.1,0.001,2.0,10,1.5264224185062003,0.3971876690102758,80133.0,80
-1,0.1,0.001,2.0,12,1.5751497693140661,0.385289345592212,80053.0,80
-1,0.1,0.001,2.0,15,1.6340547779603882,0.3756625202812331,79789.5,80
-1,0.1,0.001,2.0,20,1.7543912170340374,0.36127636560302867,79448.5,80
-1,0.1,0.001,2.0,25,1.8985656740544112,0.35738236884802593,79394.5,80
-1,0.1,0.001,4.0,10,1.4604063039683022,0.41146565711195243,80165.5,80
-1,0.1,0.001,4.0,12,1.4962434873523822,0.39415900486749594,80092.5,80
-1,0.1,0.001,4.0,15,1.5383089248543294,0.3838831800973499,79999.0,80
-1,0.1,0.001,4.0,20,1.6287925110234338,0.37101135749053543,79645.0,80
-1,0.1,0.001,4.0,25,1.7388365158146293,0.36149269875608436,79404.0,80
-1,0.1,0.001,8.0,10,1.41113130402017,0.4233639805300162,80200.0,80
-1,0.1,0.001,8.0,12,1.4373624852549394,0.40584099513250405,80070.5,80
-1,0.1,0.001,8.0,15,1.4673259546303172,0.3879935100054083,80010.5,80
-1,0.1,0.001,8.0,20,1.5350325082288236,0.3762033531638724,79827.0,80
-1,0.1,0.001,8.0,25,1.617791233843039,0.3678745267712277,79494.0,80
-1,0.1,0.005,1.0,10,1.9619159123188354,0.34916170903190913,79281.5,80
-1,0.1,0.005,1.0,12,2.11225683235355,0.34159004867495946,79185.5,80
-1,0.1,0.005,1.0,15,2.3202639326674883,0.3341265548945376,79017.5,80
-1,0.1,0.005,1.0,20,2.6963305983270502,0.32374256354786374,78542.5,80
-1,0.1,0.005,1.0,25,3.109620294849657,0.31833423472147104,78214.5,80
-1,0.1,0.005,2.0,10,1.7883443533292163,0.37025419145484045,79640.0,80
-1,0.1,0.005,2.0,12,1.9009881698959925,0.36127636560302867,79404.0,80
-1,0.1,0.005,2.0,15,2.0536426620266623,0.35143320713899406,79299.0,80
-1,0.1,0.005,2.0,20,2.338836448904109,0.34559221200649,79205.0,80
-1,0.1,0.005,2.0,25,2.659328143431612,0.34234721471065443,79065.0,80
-1,0.1,0.005,4.0,10,1.6544188857437003,0.38756084369929694,79973.0,80
-1,0.1,0.005,4.0,12,1.736861158283061,0.37739318550567874,79748.0,80
-1,0.1,0.005,4.0,15,1.8461054035852908,0.3660356949702542,79489.0,80
